iter	Passed	Remaining
402	8879	13154
403	8910	13145
404	8931	13121
405	8961	13110
406	8980	13085
407	9008	13071
408	9032	13051
409	9055	13031
410	9084	13018
411	9156	13067
412	9254	13153
413	9281	13137
414	9307	13119
415	9333	13102
416	9373	13104
417	9428	13127
418	9460	13118
419	9494	13111
420	9511	13081
421	9541	13068
422	9588	13079
423	9623	13073
424	9647	13051
425	9675	13037
426	9711	13031
427	9730	13004
428	9750	12977
429	9782	12967
430	9804	12943
431	9829	12924
432	9855	12905
433	9894	12903
434	9916	12879
435	9952	12874
436	10007	12892
437	10050	12895
438	10065	12862
439	10080	12830
440	10095	12796
441	10110	12764
442	10130	12737
443	10153	12714
444	10237	12768
445	10286	12777
446	10330	12779
447	10363	12769
448	10401	12764
449	10431	12749
450	10449	12720
451	10492	12720
452	10567	12760
453	10635	12790
454	10675	12787
455	10778	12858
456	10797	12828
457	10845	12834
458	10926	12878
459	11006	12920
460	11039	12907
461	11070	12892
462	11104	12879
463	11128	12855
464	11160	12840
465	11197	12831
466	11232	12820
467	11297	12842
468	11382	12887
469	11477	12942
470	11529	12949
471	11582	12956
472	11600	12925
473	11648	12926
474	11686	12916
475	11715	12896
476	11733	12864
477	11756	12838
478	11780	12813
479	11802	12785
480	11829	12764
481	11860	12746
482	11890	12727
483	11937	12726
484	11975	12716
485	12010	12702
486	12038	12681
487	12061	12654
488	12091	12635
489	12112	12606
490	12131	12576
491	12155	12551
492	12174	12520
493	12197	12493
494	12216	12462
495	12233	12430
496	12247	12395
497	12262	12360
498	12282	12331
499	12299	12299
500	12314	12265
501	12328	12230
502	12341	12194
503	12353	12157
504	12365	12121
505	12379	12086
506	12394	12052
507	12407	12016
508	12421	11981
509	12444	11956
510	12459	11923
511	12471	11887
512	12487	11855
513	12502	11821
514	12518	11789
515	12537	11759
516	12558	11732
517	12593	11717
518	12617	11693
519	12633	11661
520	12650	11631
521	12666	11598
522	12680	11564
523	12694	11531
524	12707	11497
525	12720	11463
526	12734	11429
527	12747	11395
528	12758	11359
529	12769	11324
530	12780	11288
531	12791	11252
532	12803	11218
533	12815	11183
534	12828	11150
535	12841	11116
536	12859	11087
537	12873	11054
538	12883	11019
539	12894	10984
540	12907	10951
541	12918	10916
542	12929	10881
543	12944	10850
544	12955	10816
545	12966	10781
546	12976	10746
547	12993	10717
548	13008	10686
549	13019	10652
550	13030	10618
551	13043	10585
552	13054	10551
553	13064	10517
554	13074	10483
555	13085	10449
556	13096	10415
557	13106	10382
558	13118	10349
559	13132	10318
560	13142	10284
561	13156	10253
562	13166	10219
563	13176	10186
564	13188	10153
565	13200	10121
566	13210	10088
567	13222	10056
568	13234	10024
569	13244	9991
570	13255	9959
571	13269	9928
572	13280	9896
573	13291	9864
574	13304	9833
575	13317	9803
576	13331	9773
577	13346	9744
578	13361	9715
579	13373	9684
580	13386	9653
581	13404	9627
582	13419	9598
583	13434	9569
584	13451	9542
585	13467	9514
586	13480	9484
587	13494	9455
588	13517	9432
589	13532	9403
590	13549	9376
591	13561	9346
592	13576	9318
593	13589	9288
594	13602	9258
595	13616	9229
596	13630	9201
597	13645	9172
598	13660	9145
599	13680	9120
600	13696	9092
601	13715	9067
602	13737	9044
603	13752	9016
604	13775	8993
605	13798	8971
606	13823	8949
607	13848	8928
608	13867	8903
609	13891	8881
610	13931	8869
611	13950	8844
612	13986	8829
613	13999	8800
614	14022	8778
615	14040	8752
616	14056	8725
617	14080	8703
618	14094	8675
619	14107	8646
620	14121	8618
621	14135	8590
622	14145	8560
623	14158	8531
624	14173	8504
625	14190	8478
626	14207	8451
627	14224	8425
628	14242	8400
629	14261	8375
630	14287	8355
631	14306	8330
632	14325	8305
633	14345	8281
634	14367	8258
635	14388	8234
636	14416	8215
637	14441	8193
638	14458	8167
639	14481	8145
640	14496	8118
641	14509	8091
642	14527	8065
643	14548	8042
644	14567	8017
645	14582	7991
646	14597	7964
647	14616	7939
648	14629	7912
649	14641	7883
650	14654	7856
651	14667	7828
652	14680	7801
653	14694	7774
654	14707	7746
655	14723	7721
656	14738	7694
657	14752	7667
658	14765	7640
659	14778	7613
660	14790	7585
661	14805	7559
662	14818	7532
663	14831	7505
664	14845	7478
665	14860	7452
666	14873	7425
667	14885	7398
668	14900	7372
669	14917	7347
670	14935	7322
671	14952	7298
672	14975	7276
673	15017	7263
674	15049	7246
675	15078	7227
676	15097	7203
677	15131	7186
678	15159	7166
679	15180	7143
680	15208	7124
681	15233	7102
682	15259	7082
683	15283	7060
684	15313	7041
685	15337	7020
686	15366	7000
687	15398	6983
688	15426	6963
689	15448	6940
690	15466	6916
691	15484	6891
692	15507	6869
693	15531	6848
694	15555	6826
695	15590	6809
696	15612	6786
697	15633	6764
698	15654	6740
699	15676	6718
700	15704	6698
701	15723	6674
702	15742	6650
703	15760	6626
704	15777	6601
705	15793	6577
706	15810	6552
707	15826	6527
708	15847	6504
709	15857	6476
710	15868	6450
711	15880	6423
712	15890	6396
713	15905	6371
714	15922	6346
715	15938	6321
716	15953	6297
717	15967	6271
718	15985	6247
719	16001	6222
720	16014	6197
721	16030	6172
722	16046	6147
723	16059	6122
724	16072	6096
725	16087	6071
726	16113	6050
727	16128	6025
728	16140	5999
729	16153	5974
730	16167	5949
731	16181	5924
732	16195	5899
733	16207	5873
734	16220	5848
735	16231	5822
736	16243	5796
737	16257	5771
738	16267	5745
739	16280	5720
740	16291	5694
741	16302	5668
742	16313	5642
743	16324	5617
744	16334	5590
745	16346	5565
746	16358	5540
747	16369	5514
748	16381	5489
749	16395	5465
750	16413	5441
751	16429	5418
752	16442	5393
753	16455	5368
754	16473	5345
755	16486	5320
756	16499	5296
757	16514	5272
758	16531	5249
759	16550	5226
760	16566	5202
761	16581	5178
762	16594	5154
763	16608	5130
764	16623	5106
765	16637	5082
766	16650	5057
767	16663	5033
768	16675	5009
769	16690	4985
770	16706	4962
771	16720	4938
772	16733	4914
773	16750	4890
774	16765	4867
775	16781	4844
776	16795	4820
777	16810	4796
778	16825	4773
779	16837	4748
780	16851	4725
781	16864	4701
782	16879	4677
783	16896	4655
784	16911	4631
785	16927	4608
786	16940	4584
787	16953	4561
788	16965	4537
789	16977	4513
790	16989	4489
791	17001	4465
792	17014	4441
793	17030	4418
794	17049	4396
795	17066	4373
796	17078	4349
797	17091	4326
798	17104	4302
799	17115	4278
800	17128	4255
801	17141	4231
802	17156	4208
803	17168	4185
804	17184	4162
805	17240	4149
806	17268	4129
807	17298	4110
808	17326	4090
809	17367	4073
810	17389	4052
811	17426	4034
812	17437	4010
813	17450	3987
814	17461	3963
815	17474	3940
816	17488	3917
817	17503	3894
818	17516	3871
819	17526	3847
820	17541	3824
821	17558	3802
822	17573	3779
823	17585	3756
824	17596	3732
825	17606	3708
826	17619	3685
827	17633	3663
828	17645	3639
829	17656	3616
830	17667	3593
831	17678	3569
832	17690	3546
833	17707	3524
834	17719	3501
835	17730	3478
836	17739	3454
837	17752	3431
838	17763	3408
839	17773	3385
840	17785	3362
841	17797	3339
842	17808	3316
843	17819	3293
844	17830	3270
845	17842	3247
846	17856	3225
847	17866	3202
848	17877	3179
849	17886	3156
850	17897	3133
851	17908	3110
852	17920	3088
853	17934	3066
854	17950	3044
855	17962	3021
856	17973	2999
857	17984	2976
858	18027	2959
859	18070	2941
860	18247	2945
861	18355	2938
862	18407	2922
863	18432	2901
864	18444	2878
865	18459	2856
866	18474	2833
867	18488	2811
868	18503	2789
869	18516	2766
870	18526	2743
871	18539	2721
872	18551	2698
873	18567	2676
874	18586	2655
875	18603	2633
876	18671	2618
877	18700	2598
878	18715	2576
879	18742	2555
880	18769	2535
881	18860	2523
882	18975	2514
883	19026	2496
884	19109	2483
885	19150	2464
886	19186	2444
887	19203	2422
888	19222	2400
889	19238	2377
890	19251	2355
891	19265	2332
892	19282	2310
893	19297	2288
894	19318	2266
895	19336	2244
896	19349	2221
897	19361	2199
898	19371	2176
899	19384	2153
900	19396	2131
901	19409	2108
902	19432	2087
903	19450	2065
904	19468	2043
905	19488	2021
906	19515	2000
907	19534	1979
908	19553	1957
909	19578	1936
910	19594	1914
911	19611	1892
912	19628	1870
913	19643	1848
914	19652	1825
915	19663	1803
916	19675	1780
917	19684	1758
918	19697	1736
919	19712	1714
920	19726	1692
921	19741	1670
922	19751	1647
923	19764	1625
924	19778	1603
925	19807	1582
926	19843	1562
927	19858	1540
928	19880	1519
929	19897	1497
930	19913	1475
931	19927	1453
932	19940	1431
933	19953	1409
934	19962	1387
935	19976	1365
936	19994	1344
937	20007	1322
938	20022	1300
939	20035	1278
940	20048	1256
941	20061	1235
942	20074	1213
943	20090	1191
944	20105	1170
945	20122	1148
946	20141	1127
947	20156	1105
948	20169	1083
949	20183	1062
950	20192	1040
951	20207	1018
952	20223	997
953	20236	975
954	20250	954
955	20266	932
956	20280	911
957	20291	889
958	20306	868
959	20323	846
960	20337	825
961	20355	804
962	20371	782
963	20386	761
964	20403	740
965	20419	718
966	20438	697
967	20452	676
968	20468	654
969	20483	633
970	20496	612
971	20506	590
972	20522	569
973	20549	548
974	20567	527
975	20586	506
976	20597	484
977	20614	463
978	20629	442
979	20649	421
980	20660	400
981	20669	378
982	20686	357
983	20698	336
984	20709	315
985	20719	294
986	20731	273
987	20750	252
988	20775	231
989	20794	210
990	20814	189
991	20846	168
992	20879	147
993	20892	126
994	20912	105
995	20941	84
996	20974	63
997	20992	42
998	21006	21
999	21023	0
